concept	election	pct	status	note
asset_acquisition_cost_eur	1996-spalio-20-seimo	0.0	upstream-absent	rows added by the 2018 GPM308/GPM311 rewording; earlier forms never print them
asset_acquisition_cost_eur	1997-birzelio-29-svenciniu-tarybos-pakartotiniai	0.0	upstream-absent	rows added by the 2018 GPM308/GPM311 rewording; earlier forms never print them
asset_acquisition_cost_eur	1997-gruodzio-21-seimo-pakartotiniai	0.0	upstream-absent	rows added by the 2018 GPM308/GPM311 rewording; earlier forms never print them
asset_acquisition_cost_eur	1997-kovo-23-savivaldybiu-tarybu	0.0	upstream-absent	rows added by the 2018 GPM308/GPM311 rewording; earlier forms never print them
asset_acquisition_cost_eur	1997-kovo-23-seimo-pakartotiniai	0.0	upstream-absent	rows added by the 2018 GPM308/GPM311 rewording; earlier forms never print them
asset_acquisition_cost_eur	1998-kovo-22-seimo-pakartotiniai	0.0	upstream-absent	rows added by the 2018 GPM308/GPM311 rewording; earlier forms never print them
asset_acquisition_cost_eur	1998-lapkricio-15-seimo-pakartotiniai	0.0	upstream-absent	rows added by the 2018 GPM308/GPM311 rewording; earlier forms never print them
asset_acquisition_cost_eur	1999-kovo-21-seimo-pakartotiniai	0.0	upstream-absent	rows added by the 2018 GPM308/GPM311 rewording; earlier forms never print them
asset_acquisition_cost_eur	2000-kovo-19-savivaldybiu-tarybu	0.0	upstream-absent	rows added by the 2018 GPM308/GPM311 rewording; earlier forms never print them
asset_acquisition_cost_eur	2000-seimo	0.0	upstream-absent	rows added by the 2018 GPM308/GPM311 rewording; earlier forms never print them
asset_acquisition_cost_eur	2002-gruodzio-22-savivaldybiu-tarybu	0.0	upstream-absent	rows added by the 2018 GPM308/GPM311 rewording; earlier forms never print them
asset_acquisition_cost_eur	2002-prezidento	0.0	upstream-absent	declarations published only as archive scans (declaration_status: archyvo-skenai)
asset_acquisition_cost_eur	2003-birzelio-15-seimo-nauji	0.0	upstream-absent	rows added by the 2018 GPM308/GPM311 rewording; earlier forms never print them
asset_acquisition_cost_eur	2004-ep	0.0	upstream-absent	rows added by the 2018 GPM308/GPM311 rewording; earlier forms never print them
asset_acquisition_cost_eur	2004-prezidento	0.0	upstream-absent	rows added by the 2018 GPM308/GPM311 rewording; earlier forms never print them
asset_acquisition_cost_eur	2004-seimo	0.0	upstream-absent	rows added by the 2018 GPM308/GPM311 rewording; earlier forms never print them
