form	records	name	number	elections
Daugiamandatė	2956			2000-seimo,2004-seimo,2008-seimo,2012-seimo
Daugiamandatė, šioje apygardoje išrinkta Seimo nare.	2			2000-seimo
Daugiamandatė, šioje apygardoje išrinktas Seimo nariu.	22			2000-seimo
Akmenės - Joniškio	37	Akmenės–Joniškio		2000-seimo,2004-seimo,2008-seimo,2012-seimo
Akmenės Joniškio	10	Akmenės–Joniškio		1996-spalio-20-seimo
Akmenės-Mažeikių (Nr. 39)	9	Akmenės–Mažeikių	39	2016-seimo
19. Aleksoto–Vilijampolės	11	Aleksoto–Vilijampolės	19	2020-seimo
Aleksoto - Vilijampolės	49	Aleksoto–Vilijampolės		2000-seimo,2004-seimo,2008-seimo,2012-seimo
Aleksoto Vilijampolės	12	Aleksoto–Vilijampolės		1996-spalio-20-seimo
Aleksoto-Vilijampolės (Nr. 19)	11	Aleksoto–Vilijampolės	19	2016-seimo
Aleksoto–Vilijampolės Nr. 19	12	Aleksoto–Vilijampolės	19	2024-seimo
30. Alytaus	12	Alytaus	30	2020-seimo
Alytaus	54	Alytaus		1996-spalio-20-seimo,2000-seimo,2004-seimo,2008-seimo,2012-seimo
Alytaus (Nr. 30)	10	Alytaus	30	2016-seimo
Alytaus Nr. 30	10	Alytaus	30	2024-seimo
3. Antakalnio	14	Antakalnio	3	2020-seimo
Antakalnio	69	Antakalnio		1996-spalio-20-seimo,2000-seimo,2003-birzelio-15-seimo-nauji,2004-seimo,2008-seimo,2012-seimo
Antakalnio (Nr. 3)	11	Antakalnio	3	2016-seimo
Antakalnio Nr. 3	9	Antakalnio	3	2024-seimo
Anykščių - Kupiškio	41	Anykščių–Kupiškio		2000-seimo,2004-seimo,2008-seimo,2012-seimo
Anykščių Kupiškio	11	Anykščių–Kupiškio		1996-spalio-20-seimo
Anykščių-Panevėžio	11	Anykščių–Panevėžio		2017-balandzio-23-seimo-anyksciai-panevezys
Anykščių-Panevėžio (Nr. 49)	7	Anykščių–Panevėžio	49	2016-seimo
33. Aukštaitijos	10	Aukštaitijos	33	2020-seimo
Aukštaitijos	59	Aukštaitijos		1996-spalio-20-seimo,1997-gruodzio-21-seimo-pakartotiniai,2000-seimo,2004-seimo,2008-seimo,2012-seimo
Aukštaitijos (Nr. 28)	8	Aukštaitijos	28	2016-seimo
Aukštaitijos Nr. 33	9	Aukštaitijos	33	2024-seimo
25. Aušros	13	Aušros	25	2020-seimo
Aušros	57	Aušros		1996-spalio-20-seimo,2000-seimo,2004-seimo,2008-seimo,2012-seimo
Aušros (Nr. 25)	10	Aušros	25	2016-seimo
Aušros Nr. 27	11	Aušros	27	2024-seimo
24. Baltijos	12	Baltijos	24	2020-seimo
Baltijos	59	Baltijos		1996-spalio-20-seimo,2000-seimo,2004-seimo,2008-seimo,2012-seimo
Baltijos (Nr. 20)	12	Baltijos	20	2016-seimo
Baltijos Nr. 24	12	Baltijos	24	2024-seimo
Biržų - Kupiškio	55	Biržų–Kupiškio		2000-seimo,2004-seimo,2008-seimo,2012-seimo,2013-kovo-3-seimo-birzai-zarasai-ukmerge
Biržų Kupiškio	13	Biržų–Kupiškio		1996-spalio-20-seimo
Biržų-Kupiškio (Nr. 48)	9	Biržų–Kupiškio	48	2016-seimo
Centro	61	Centro		1996-spalio-20-seimo,2000-seimo,2004-seimo,2008-seimo,2012-seimo
20. Centro–Žaliakalnio	15	Centro–Žaliakalnio	20	2020-seimo
Centro-Žaliakalnio (Nr. 13)	12	Centro–Žaliakalnio	13	2016-seimo
Centro–Žaliakalnio Nr. 20	13	Centro–Žaliakalnio	20	2024-seimo
67. Dainavos	9	Dainavos	67	2020-seimo
Dainavos	56	Dainavos		1996-spalio-20-seimo,2000-seimo,2004-seimo,2008-seimo,2012-seimo
Dainavos (Nr. 16)	10	Dainavos	16	2016-seimo
Dainavos Nr. 67	10	Dainavos	67	2024-seimo
Dainų	56	Dainų		1996-spalio-20-seimo,2000-seimo,2004-seimo,2008-seimo,2012-seimo
23. Danės	10	Danės	23	2020-seimo
Danės	47	Danės		1996-spalio-20-seimo,2000-seimo,2004-seimo,2008-seimo,2012-seimo
Danės (Nr. 23)	9	Danės	23	2016-seimo
Danės Nr. 23	9	Danės	23	2024-seimo
61. Deltuvos pietinė	11	Deltuvos pietinė	61	2020-seimo
Deltuvos pietinė Nr. 61	10	Deltuvos pietinė	61	2024-seimo
49. Deltuvos šiaurinė	8	Deltuvos šiaurinė	49	2020-seimo
Deltuvos šiaurinė Nr. 49	9	Deltuvos šiaurinė	49	2024-seimo
69. Dzūkijos	14	Dzūkijos	69	2020-seimo
Dzūkijos	57	Dzūkijos		1996-spalio-20-seimo,2000-seimo,2004-seimo,2007-spalio-7-seimo-dzukija,2008-seimo,2012-seimo
Dzūkijos (Nr. 69)	8	Dzūkijos	69	2016-seimo
Dzūkijos Nr. 69	10	Dzūkijos	69	2024-seimo
5. Fabijoniškių	15	Fabijoniškių	5	2020-seimo
Fabijoniškių	66	Fabijoniškių		1996-spalio-20-seimo,2000-seimo,2004-seimo,2008-seimo,2012-seimo
Fabijoniškių (Nr. 5)	11	Fabijoniškių	5	2016-seimo
Fabijoniškių Nr. 5	11	Fabijoniškių	5	2024-seimo
31. Gargždų	8	Gargždų	31	2020-seimo
