concept	election	pct	status	note
anksciau-isrinktas	1996-spalio-20-seimo	36.1	partly-published	the 1996-1999 archive card prints its 'Buvo išrinktas į Lietuvos Respublikos Aukščiausiąją Tarybą, Seimą, savivaldybių tarybas:' line only for a candidate who was elected before; anyone else's card has no such line (checked against the retained candidate.html, issue #162)
anksciau-isrinktas	1997-gruodzio-21-seimo-pakartotiniai	50.0	partly-published	the 1996-1999 archive card prints its 'Buvo išrinktas į Lietuvos Respublikos Aukščiausiąją Tarybą, Seimą, savivaldybių tarybas:' line only for a candidate who was elected before; anyone else's card has no such line (checked against the retained candidate.html, issue #162)
anksciau-isrinktas	1997-kovo-23-seimo-pakartotiniai	47.8	partly-published	the 1996-1999 archive card prints its 'Buvo išrinktas į Lietuvos Respublikos Aukščiausiąją Tarybą, Seimą, savivaldybių tarybas:' line only for a candidate who was elected before; anyone else's card has no such line (checked against the retained candidate.html, issue #162)
anksciau-isrinktas	1998-kovo-22-seimo-pakartotiniai	9.1	partly-published	the 1996-1999 archive card prints its 'Buvo išrinktas į Lietuvos Respublikos Aukščiausiąją Tarybą, Seimą, savivaldybių tarybas:' line only for a candidate who was elected before; anyone else's card has no such line (checked against the retained candidate.html, issue #162)
anksciau-isrinktas	1998-lapkricio-15-seimo-pakartotiniai	54.5	partly-published	the 1996-1999 archive card prints its 'Buvo išrinktas į Lietuvos Respublikos Aukščiausiąją Tarybą, Seimą, savivaldybių tarybas:' line only for a candidate who was elected before; anyone else's card has no such line (checked against the retained candidate.html, issue #162)
anksciau-isrinktas	1999-kovo-21-seimo-pakartotiniai	31.8	partly-published	the 1996-1999 archive card prints its 'Buvo išrinktas į Lietuvos Respublikos Aukščiausiąją Tarybą, Seimą, savivaldybių tarybas:' line only for a candidate who was elected before; anyone else's card has no such line (checked against the retained candidate.html, issue #162)
anksciau-isrinktas	2000-kovo-19-savivaldybiu-tarybu	100.0	ok	
anksciau-isrinktas	2000-seimo	100.0	ok	
anksciau-isrinktas	2002-gruodzio-22-savivaldybiu-tarybu	100.0	ok	
anksciau-isrinktas	2003-birzelio-15-seimo-nauji	100.0	ok	
anksciau-isrinktas	2004-ep	100.0	ok	
anksciau-isrinktas	2004-seimo	100.0	ok	
anksciau-isrinktas	2005-lapkricio-20-seimo-kedainiai	100.0	ok	
anksciau-isrinktas	2007-spalio-7-seimo-dzukija	100.0	ok	
anksciau-isrinktas	2007-vasario-25-savivaldybiu	100.0	ok	
anksciau-isrinktas	2008-seimo	100.0	ok	
anksciau-isrinktas	2009-ep	100.0	ok	
anksciau-isrinktas	2009-lapkricio-15-seimo-silale-silute-vilnius-salcininkai	100.0	ok	
anksciau-isrinktas	2009-prezidento	100.0	ok	
anksciau-isrinktas	2011-vasario-13-seimo-marijampole	100.0	ok	
anksciau-isrinktas	2011-vasario-27-savivaldybiu	100.0	ok	
