form	records	municipality_id	elections
Akmenės rajono	762	akmenes-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Akmenės rajono savivaldybė	682	akmenes-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Alytaus miesto	1217	alytaus-miesto	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Alytaus miesto savivaldybė	1001	alytaus-miesto	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Alytaus rajono	884	alytaus-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Alytaus rajono savivaldybė	707	alytaus-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Anykščių rajono	783	anyksciu-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Anykščių rajono savivaldybė	651	anyksciu-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Birštono	268	birstono	2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Birštono miesto	170	birstono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu
Birštono savivaldybė	414	birstono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Biržų rajono	792	birzu-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Biržų rajono savivaldybė	533	birzu-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Druskininkų	507	druskininku	2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Druskininkų miesto	265	druskininku	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu
Druskininkų savivaldybė	462	druskininku	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Elektrėnų	794	elektrenu	2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Elektrėnų savivaldybė	822	elektrenu	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Ignalinos rajono	714	ignalinos-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Ignalinos rajono savivaldybė	557	ignalinos-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Jonavos rajono	861	jonavos-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Jonavos rajono (10)	10	jonavos-rajono	2017-balandzio-23-meru,2025-kovo-16-meru
Jonavos rajono savivaldybė	732	jonavos-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
