form	records	partija-id	tipas
Lietuvos socialdemokratų partija	15270	lsdp	partija
Darbo partija	7322	darbo-partija	partija
Lietuvos Respublikos liberalų sąjūdis	6085	lrls	partija
Lietuvos valstiečių ir žaliųjų sąjunga	5535	lvzs	partija
Naujoji sąjunga (socialliberalai)	5418	naujoji-sajunga	partija
Partija Tvarka ir teisingumas	4990	tvarka-ir-teisingumas	partija
Tėvynės sąjunga - Lietuvos krikščionys demokratai	4383	ts-lkd	partija
Tėvynės sąjunga (Lietuvos konservatoriai)	3603	tevynes-sajunga	partija
Liberalų ir centro sąjunga	3395	liberalu-ir-centro-sajunga	partija
Lietuvos centro sąjunga	2992	lietuvos-centro-sajunga	partija
Lietuvos liberalų sąjunga	2457	lietuvos-liberalu-sajunga	partija
Lietuvos valstiečių liaudininkų sąjunga	2406	lvzs	partija
Lietuvos krikščionių demokratų partija	1918	lkdp	partija
Tėvynės sąjunga – Lietuvos krikščionys demokratai	1876	ts-lkd	partija
Tėvynės sąjunga-Lietuvos krikščionys demokratai	1875	ts-lkd	partija
Lietuvos krikščionys demokratai	1804	lkd	partija
Lietuvos demokratinė darbo partija	1766	lddp	partija
Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)	1651	tevynes-sajunga	partija
Demokratų sąjunga „Vardan Lietuvos“	1538	vardan-lietuvos	partija
Lietuvos laisvės sąjunga (liberalai)	1487	lietuvos-laisves-sajunga-liberalai	partija
Lietuvos lenkų rinkimų akcija	1425	llra-kss	partija
Liberalų sąjūdis	1400	lrls	partija
Lietuvos centro partija	1184	lietuvos-centro-partija	partija
Partija Tvarka ir teisingumas (liberalai demokratai)	1082	tvarka-ir-teisingumas	partija
Valstiečių ir Naujosios demokratijos partijų sąjunga	1076	lvzs	partija
Lietuvos regionų partija	1019	lietuvos-regionu-partija	partija
Lietuvos valstiečių partija	958	lietuvos-valstieciu-partija	partija
Liberalų demokratų partija	932	tvarka-ir-teisingumas	partija
Lietuvos žaliųjų partija	916	lietuvos-zaliuju-partija	partija
Krikščionių partija	912	krikscioniu-partija	partija
Lietuvos liaudies partija	829	lietuvos-liaudies-partija	partija
Partija „Laisvė ir teisingumas“	819	laisve-ir-teisingumas	partija
Lietuvos socialdemokratų darbo partija	749	lietuvos-regionu-partija	partija
Lietuvių tautininkų sąjunga	727	lietuviu-tautininku-sajunga	partija
