path	records	elections	subject	sensitivity	public	note
candidateId	113073	55	none	technical	ship	
candidateName	113073	55	candidate	identifying	ship	
candidateNote	27476	3	candidate	public-record	ship	the elected note VRK prints under the name
electionId	113073	55	none	technical	ship	
kandidatavimas.apygardosId	10138	1	none	technical	ship	
kandidatavimas.daugiamandate	362	10	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.daugiamandate.koalicijosPartija	682	4	candidate	political	ship	who nominated the candidate and on which list
kandidatavimas.daugiamandate.numerisPartijosSarase	417	2	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.daugiamandate.numerisSarase	6513	7	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.daugiamandate.sarasas	6513	7	candidate	political	ship	who nominated the candidate and on which list
kandidatavimas.daugiamandate.sarasoId	6513	7	none	technical	ship	
kandidatavimas.daugiamandate.sarasoNumeris	6513	7	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.isrinktas	105737	47	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.isrinktasKaip	8718	44	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.mandatasNutrauktas.decision.label	1	1	none	technical	ship	
kandidatavimas.mandatasNutrauktas.decision.url	1	1	none	technical	ship	
kandidatavimas.mandatasNutrauktas.note	1	1	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.mandatasNutrauktas.replacedBy	1	1	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.mandatasNutrauktas.statementUrl	1	1	none	technical	ship	
kandidatavimas.meras	71823	7	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.meras.elected	843	2	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.meras.nominatedBy	1300	5	candidate	political	ship	who nominated the candidate and on which list
kandidatavimas.meras.round	843	2	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.pakeiteNari	1	1	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.partinisReitingas	1151	1	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.pirmumoBalsai	57304	11	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.pirmumoBalsuSaltinis	57304	11	none	technical	ship	
kandidatavimas.porinkiminisNumerisSarase	57293	11	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.reitingoBalai	4600	3	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.rezultataiNeskelbiami.nariuPuslapis	806	1	none	technical	ship	
kandidatavimas.rezultataiNeskelbiami.priezastis	806	1	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.rezultataiPanaikinti	48	1	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.rezultatuSaltinis	8255	26	none	technical	ship	
kandidatavimas.rezultatuTuras	146	16	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.roles[]	100015	22	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.savarankiskasKampanijosDalyvis.nuoroda	459	2	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.savarankiskasKampanijosDalyvis.sprendimas	459	2	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.savivaldybe	65678	7	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.savivaldybe.id	27462	2	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.savivaldybe.name	27462	2	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.savivaldybe.number	27462	2	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.savivaldybesId	9879	1	none	technical	ship	
kandidatavimas.savivaldybesNumeris	20017	2	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.tarybosNarys	88	4	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.tarybosNarys.elected	27404	2	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.tarybosNarys.koalicijosPartija	1028	2	candidate	political	ship	who nominated the candidate and on which list
kandidatavimas.tarybosNarys.koalicijosPartijos[]	1028	2	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.tarybosNarys.listKind	49836	4	candidate	political	ship	who nominated the candidate and on which list
kandidatavimas.tarybosNarys.listNumber	65648	7	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.tarybosNarys.listPosition	93052	9	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.tarybosNarys.numerisPartijosSarase	546	1	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.tarybosNarys.partyList	65648	7	candidate	political	ship	who nominated the candidate and on which list
kandidatavimas.tarybosNarys.partyList.id	27404	2	candidate	political	ship	who nominated the candidate and on which list
kandidatavimas.tarybosNarys.partyList.name	27404	2	candidate	political	ship	who nominated the candidate and on which list
kandidatavimas.tarybosNarys.partyList.number	27404	2	candidate	political	ship	who nominated the candidate and on which list
kandidatavimas.tarybosNarys.postElectionPosition	27404	2	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.tarybosNarys.sarasoBalsai	20017	2	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.tarybosNarys.sarasoId	9879	1	none	technical	ship	
kandidatavimas.tarybosNarys.sarasoMandatai	20017	2	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.tarybosNarys.sarasoRezultatuSaltinis	20017	2	none	technical	ship	
kandidatavimas.tarybosNarys.selfNominated	29819	2	candidate	political	ship	who nominated the candidate and on which list
