rule	election	candidate	path	value	why
age-below-statutory-minimum	1996-spalio-20-seimo	damanskis-adolfas-1996-spalio-20-seimo	normalized.*.gimimo-data	1995-05-22	VRK's own typing: the card states 1995-05-22 and the biography on the same page names parents born 1908 and 1917, so the year is wrong by a digit (1935). Not repaired -- the person index keys on this date and a guessed correction would invent an identity. The one outlier in an otherwise exact age distribution
date-out-of-range	2004-ep	danute-mileikiene-2004-ep	normalized.turto-ir-pajamu-deklaracijos.israsai.pajamu-deklaracija.pildymo-data	0204-05-04	VRK's own typing: 0204-05-04 is verbatim in this record's rawData (year 204 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
date-out-of-range	2004-ep	kestutis-salickas-2004-ep	normalized.turto-ir-pajamu-deklaracijos.israsai.turto-deklaracija.gavimo-data	0204-04-30	VRK's own typing: 0204-04-30 is verbatim in this record's rawData (year 204 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
date-out-of-range	2004-ep	rolandas-pavilionis-2004-ep	normalized.turto-ir-pajamu-deklaracijos.israsai.pajamu-deklaracija.gavimo-data	0204-05-03	VRK's own typing: 0204-05-03 is verbatim in this record's rawData (year 204 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
date-out-of-range	2004-seimo	elva-drukteniene-2004-seimo	normalized.turto-ir-pajamu-deklaracijos.israsai.pajamu-deklaracija.gavimo-data	0200-08-20	VRK's own typing: 0200-08-20 is verbatim in this record's rawData (year 200 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
date-out-of-range	2004-seimo	elva-drukteniene-2004-seimo	normalized.turto-ir-pajamu-deklaracijos.israsai.pajamu-deklaracija.pildymo-data	0200-08-20	VRK's own typing: 0200-08-20 is verbatim in this record's rawData (year 200 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
date-out-of-range	2004-seimo	milda-morkuniene-2004-seimo	normalized.turto-ir-pajamu-deklaracijos.israsai.turto-deklaracija.gavimo-data	0204-09-06	VRK's own typing: 0204-09-06 is verbatim in this record's rawData (year 204 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
date-out-of-range	2004-seimo	romuald-gzybovski-2004-seimo	normalized.turto-ir-pajamu-deklaracijos.israsai.pajamu-deklaracija.gavimo-data	0204-08-11	VRK's own typing: 0204-08-11 is verbatim in this record's rawData (year 204 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
date-out-of-range	2004-seimo	romuald-gzybovski-2004-seimo	normalized.turto-ir-pajamu-deklaracijos.israsai.turto-deklaracija.pildymo-data	0204-08-17	VRK's own typing: 0204-08-17 is verbatim in this record's rawData (year 204 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
date-out-of-range	2004-seimo	stanislav-tarasevic-2004-seimo	normalized.turto-ir-pajamu-deklaracijos.israsai.pajamu-deklaracija.pildymo-data	2204-07-23	VRK's own typing: 2204-07-23 is verbatim in this record's rawData (year 2204 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
date-out-of-range	2004-seimo	zydra-klevinskaite-2004-seimo	normalized.turto-ir-pajamu-deklaracijos.israsai.pajamu-deklaracija.gavimo-data	0204-09-06	VRK's own typing: 0204-09-06 is verbatim in this record's rawData (year 204 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
date-out-of-range	2007-vasario-25-savivaldybiu	antanas-mikalauskas-9441-2007-vasario-25-savivaldybiu	normalized.privaciu-interesu-deklaracija.v-turtines-prievoles[].isipareigojimo-data	1111-11-11	VRK's own typing: 1111-11-11 is verbatim in this record's rawData (year 1111 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
date-out-of-range	2007-vasario-25-savivaldybiu	antanas-mikalauskas-9441-2007-vasario-25-savivaldybiu	normalized.privaciu-interesu-deklaracija.v-turtines-prievoles[].isipareigojimo-data	1111-11-11	VRK's own typing: 1111-11-11 is verbatim in this record's rawData (year 1111 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
date-out-of-range	2007-vasario-25-savivaldybiu	arunas-pleckaitis-2592-2007-vasario-25-savivaldybiu	normalized.privaciu-interesu-deklaracija.v-turtines-prievoles[].isipareigojimo-data	9999-12-31	VRK's own typing: 9999-12-31 is verbatim in this record's rawData (year 9999 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
date-out-of-range	2007-vasario-25-savivaldybiu	daina-kacegaviciene-1331-2007-vasario-25-savivaldybiu	normalized.privaciu-interesu-deklaracija.v-turtines-prievoles[].isipareigojimo-data	1111-11-11	VRK's own typing: 1111-11-11 is verbatim in this record's rawData (year 1111 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
date-out-of-range	2007-vasario-25-savivaldybiu	danguole-simoniene-1271-2007-vasario-25-savivaldybiu	normalized.privaciu-interesu-deklaracija.v-turtines-prievoles[].isipareigojimo-data	0200-12-01	VRK's own typing: 0200-12-01 is verbatim in this record's rawData (year 200 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
date-out-of-range	2007-vasario-25-savivaldybiu	gintaras-ronkaitis-13362-2007-vasario-25-savivaldybiu	normalized.privaciu-interesu-deklaracija.v-turtines-prievoles[].isipareigojimo-data	3003-05-20	VRK's own typing: 3003-05-20 is verbatim in this record's rawData (year 3003 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
date-out-of-range	2007-vasario-25-savivaldybiu	grazvydas-stankunas-12004-2007-vasario-25-savivaldybiu	normalized.privaciu-interesu-deklaracija.v-turtines-prievoles[].isipareigojimo-data	0005-07-12	VRK's own typing: 0005-07-12 is verbatim in this record's rawData (year 5 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
date-out-of-range	2007-vasario-25-savivaldybiu	ingrida-juzeniene-314-2007-vasario-25-savivaldybiu	normalized.privaciu-interesu-deklaracija.v-turtines-prievoles[].isipareigojimo-data	1111-11-11	VRK's own typing: 1111-11-11 is verbatim in this record's rawData (year 1111 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
date-out-of-range	2007-vasario-25-savivaldybiu	irena-anele-bradaitiene-8232-2007-vasario-25-savivaldybiu	normalized.privaciu-interesu-deklaracija.v-turtines-prievoles[].isipareigojimo-data	9999-12-31	VRK's own typing: 9999-12-31 is verbatim in this record's rawData (year 9999 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
date-out-of-range	2007-vasario-25-savivaldybiu	kestutis-svegzda-371-2007-vasario-25-savivaldybiu	normalized.privaciu-interesu-deklaracija.v-turtines-prievoles[].isipareigojimo-data	9999-12-31	VRK's own typing: 9999-12-31 is verbatim in this record's rawData (year 9999 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
date-out-of-range	2007-vasario-25-savivaldybiu	kostas-kynas-2368-2007-vasario-25-savivaldybiu	normalized.privaciu-interesu-deklaracija.v-turtines-prievoles[].isipareigojimo-data	9999-12-31	VRK's own typing: 9999-12-31 is verbatim in this record's rawData (year 9999 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
date-out-of-range	2007-vasario-25-savivaldybiu	rasa-zygmantaite-7302-2007-vasario-25-savivaldybiu	normalized.privaciu-interesu-deklaracija.v-turtines-prievoles[].isipareigojimo-data	9999-12-31	VRK's own typing: 9999-12-31 is verbatim in this record's rawData (year 9999 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
date-out-of-range	2007-vasario-25-savivaldybiu	ricardas-zukauskas-3780-2007-vasario-25-savivaldybiu	normalized.privaciu-interesu-deklaracija.v-turtines-prievoles[].isipareigojimo-data	0206-06-27	VRK's own typing: 0206-06-27 is verbatim in this record's rawData (year 206 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
date-out-of-range	2007-vasario-25-savivaldybiu	romualdas-varanius-2775-2007-vasario-25-savivaldybiu	normalized.privaciu-interesu-deklaracija.v-turtines-prievoles[].isipareigojimo-data	0205-11-08	VRK's own typing: 0205-11-08 is verbatim in this record's rawData (year 205 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
date-out-of-range	2007-vasario-25-savivaldybiu	sigitas-sliazas-9101-2007-vasario-25-savivaldybiu	normalized.privaciu-interesu-deklaracija.v-turtines-prievoles[].isipareigojimo-data	0210-04-07	VRK's own typing: 0210-04-07 is verbatim in this record's rawData (year 210 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
date-out-of-range	2007-vasario-25-savivaldybiu	valentinas-zalalis-13334-2007-vasario-25-savivaldybiu	normalized.privaciu-interesu-deklaracija.v-turtines-prievoles[].isipareigojimo-data	0205-07-05	VRK's own typing: 0205-07-05 is verbatim in this record's rawData (year 205 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
